Filename,Accuracy,Correct Matches,Total Questions
embedder_1/evaluation_czech_1_1.csv,0.8545454545454545,235,275
embedder_1/evaluation_czech_1_2.csv,0.8472727272727273,233,275
embedder_1/evaluation_english_1_1.csv,0.98,294,300
embedder_1/evaluation_english_1_2.csv,0.9666666666666667,290,300
embedder_2/evaluation_czech_2_1.csv,0.9345454545454546,257,275
embedder_2/evaluation_czech_2_2.csv,0.9127272727272727,251,275
embedder_2/evaluation_english_2_1.csv,0.9666666666666667,290,300
embedder_2/evaluation_english_2_2.csv,0.9533333333333334,286,300
embedder_3/evaluation_czech_3_1.csv,0.9563636363636364,263,275
embedder_3/evaluation_czech_3_2.csv,0.9309090909090909,256,275
embedder_3/evaluation_czech_3_3.csv,0.9490909090909091,261,275
embedder_3/evaluation_czech_3_4.csv,0.9490909090909091,261,275
embedder_3/evaluation_english_3_1.csv,0.9566666666666667,287,300
embedder_3/evaluation_english_3_2.csv,0.95,285,300
embedder_3/evaluation_english_3_3.csv,0.94,282,300
embedder_3/evaluation_english_3_4.csv,0.94,282,300
