question,correct_document,retrieved_documents,position,correct_found,question_lang,num_czech,num_engl
Jaká je emailová adresa pro komunikaci s požadavkovým systémem na ICS MU?,Kontakty,"Kontakty, Žádost o projekt, řízení přístupu, Ansys, Matlab, How to get Access",1.0,True,cz,4,1
Jaký je email pro kontaktování požadavkového systému?,Kontakty,"Kontakty, Ansys, Žádost o projekt, řízení přístupu, Matlab, ShinySOM",1.0,True,cz,5,0
Jak mohu kontaktovat požadavkový systém prostřednictvím emailu?,Kontakty,"Kontakty, Žádost o projekt, řízení přístupu, Matlab, Ansys, Jak získat přístup",1.0,True,cz,5,0
Kde mohu najít kontakty pro požadavkový systém?,Kontakty,"Kontakty, Přehled Operátorů, Ansys, Žádost o projekt, řízení přístupu, Contacts",1.0,True,cz,4,1
Kdo je odpovědný za emailovou adresu k8s@ics.muni.cz?,Kontakty,"Kontakty, Žádost o projekt, řízení přístupu, Contacts, Requesting a Project, Access Control, Ansys",1.0,True,cz,3,2
Jakým způsobem aplikace Osobní monitorování shromažďuje metriky z vašeho namespace?,Osobní monitorování,"Osobní monitorování, Minio, Namespaces, Minio, Projekty, Namespaces a Kvóty",1.0,True,cz,5,0
Kde se nachází osobní instance Grafany po instalaci?,Osobní monitorování,"Osobní monitorování, Osobní monitorování, Desktop, Ansys, Ansys",1.0,True,cz,5,0
Jaký je postup instalace aplikace Osobní monitorování pomocí Rancher?,Osobní monitorování,"Scipion, Osobní monitorování, Scipion, Rancher Aplikace, RStudio",2.0,True,cz,5,0
"Co znamená, když se aplikace zobrazí jako zelená `Nasazeno`?",Osobní monitorování,"Osobní monitorování, ShinySOM, RStudio, Matlab, Moodle",1.0,True,cz,5,0
Jakým způsobem se mění výchozí přihlašovací údaje pro instanci Grafany?,Osobní monitorování,"Osobní monitorování, Harbor (hub.cerit.io), Ansys, Jak získat přístup, How to get Access",1.0,True,cz,4,1
Jak se mohu přihlásit do Rancher instance na rancher.cloud.e-infra.cz?,Rancher,"Secrets pro úložiště, Rancher, Jak získat přístup, Scipion, Spuštění Virtuálního Stroje",2.0,True,cz,5,0
"Co mám dělat, pokud po přihlášení nevidím žádný cluster?",Rancher,"Osobní monitorování, Postgres Operator Cloudnative-PG, Minio, Scipion, Rancher",5.0,True,cz,5,0
Jakým způsobem mohu vytvořit nový namespace v Rancheru?,Rancher,"Projekty, Namespaces a Kvóty, Namespaces, Rancher, Rancher, Namespaces",3.0,True,cz,5,0
"Jaké jsou rozdíly mezi clustery, projekty a namespaces v Rancheru a Kubernetes?",Rancher,"Rancher, Rancher, Namespaces, Rancher, Žádost o projekt, řízení přístupu",1.0,True,cz,4,1
Jaké omezení je spojeno s používáním příkazového řádku kubectl v Rancheru?,Rancher,"Rancher, Rancher, Vystavování aplikací, Žádost o projekt, řízení přístupu, Desktop",1.0,True,cz,5,0
