question,correct_document,retrieved_documents,position,correct_found,question_lang,num_czech,num_engl
How can a user specify the required ephemeral-storage resource for a container?,GPU and other Resources,"Storage, Hello world tutorial, Úložiště, Use case Omero, Jobs",,False,en,1,4
What must be done to request GPU properties like memory size when deploying a Pod?,GPU and other Resources,"GPU and other Resources, FAQ, Running Virtual Machine, Projects, Namespaces, and Quotas, Running Nextflow Pipelines in Kubernetes",1.0,True,en,0,5
How can a user increase the shared memory size for a container?,GPU and other Resources,"GPU and other Resources, Running Virtual Machine, Jobs, Projects, Namespaces, and Quotas, FAQ",1.0,True,en,0,5
What are the two types of resource limits described in the documentation?,GPU and other Resources,"GPU and other Resources, Projects, Namespaces, and Quotas, FAQ, BinderHub, GPU a další zdroje",1.0,True,en,1,4
What is the significance of the `nodeSelector` label when requesting a specific GPU type?,GPU and other Resources,"GPU and other Resources, Running Virtual Machine, Spuštění Virtuálního Stroje, JupyterHub, FAQ",1.0,True,en,2,3
How do I install WireGuard on a Windows system to use Secure VPN?,VPN,"VPN, VPN, Wireguard, Personal Monitoring, Desktop",1.0,True,en,1,4
What steps do I need to follow to set up Secure VPN on a Linux based OS?,VPN,"VPN, VPN, Wireguard, Exposing Applications, Personal Monitoring",1.0,True,en,1,4
How can I check the status of my VPN tunnel on a Linux system?,VPN,"VPN, Personal Monitoring, Ansys, Desktop, VPN",1.0,True,en,1,4
How can I activate a VPN tunnel on a Windows device using WireGuard?,VPN,"VPN, VPN, Wireguard, Personal Monitoring, Exposing Applications",1.0,True,en,1,4
What is the procedure for creating a VPN configuration file on Windows?,VPN,"VPN, VPN, Wireguard, Samba Server, Hello world tutorial",1.0,True,en,1,4
How can I access Foldify and what is required for login?,Foldify,"Foldify, News, Harbor (hub.cerit.io), ownCloud, MinIO Operator",1.0,True,en,1,4
How can I view and download the results of my computed jobs in Foldify?,Foldify,"Foldify, News, Running Nextflow Pipelines in Kubernetes, Personal Monitoring, Spuštění Nextflow Pipelines v Kubernetes",1.0,True,en,1,4
What steps must be taken to access AlphaFold3 on Foldify?,Foldify,"News, Foldify, ownCloud, Scipion, Desktop",2.0,True,en,0,5
What are the sections available on the Foldify Dashboard after logging in?,Foldify,"Foldify, Personal Monitoring, Moodle, Hello world tutorial, How to Run NGINX Web Server",1.0,True,en,0,5
What information is displayed in the Molstar viewer on the Results page?,Foldify,"Foldify, Osobní monitorování, ShinySOM, Matlab, Harbor (hub.cerit.io)",1.0,True,en,3,2
What steps should you follow to apply the deployment of the GitLab Kubernetes Agent using kubectl?,GitLab Kubernetes Agent,"GitLab Kubernetes Agent, GitLab Runner in Kubernetes, Dockerfile, Hello world tutorial, GitLab Kubernetes Agent",1.0,True,en,1,4
How can you make an opaque secret for the GitLab Kubernetes Agent token using kubectl?,GitLab Kubernetes Agent,"GitLab Kubernetes Agent, GitLab Runner in Kubernetes, Storing Kubernetes Secrets in Git, Exposing Applications, Jak spustit webový server NGINX",1.0,True,en,1,4
What are the prerequisites needed before installing the GitLab Kubernetes Agent?,GitLab Kubernetes Agent,"GitLab Kubernetes Agent, GitLab Runner in Kubernetes, GitLab Kubernetes Agent, Dockerfile, Hello world tutorial",1.0,True,en,1,4
How do you define a configuration repository for the GitLab Kubernetes Agent?,GitLab Kubernetes Agent,"GitLab Kubernetes Agent, GitLab Runner in Kubernetes, GitLab Kubernetes Agent, Dockerfile, Building Docker containers with Gitlab",1.0,True,en,1,4
What is the process for registering the agent and obtaining the agent token?,GitLab Kubernetes Agent,"GitLab Kubernetes Agent, GitLab Kubernetes Agent, GitLab Runner in Kubernetes, Personal Monitoring, Storage Secrets",1.0,True,en,1,4
What are the three important Kubernetes objects related to storage?,Storage,"Storage, MinIO Operator, Jobs, Hello world tutorial, Úložiště",1.0,True,en,1,4
What are some characteristics of the 'nfs-csi' storage class?,Storage,"Storage, Tutorial pro Hello World, Available Hardware, Postgres Operator Cloudnative-PG, Úložiště",1.0,True,en,3,2
How can a user create an ad-hoc PVC using a template in Kubernetes?,Storage,"Storage, Hello world tutorial, How to Run NGINX Web Server, Use case Omero, Running Nextflow Pipelines in Kubernetes",1.0,True,en,0,5
What is the difference between ephemeral storage from local disk and local memory in Kubernetes?,Storage,"Storage, Úložiště, Postgres Operator Cloudnative-PG, Projects, Namespaces, and Quotas, Use case Omero",1.0,True,en,1,4
"How can administrators describe the ""classes"" of storage they offer in Kubernetes?",Storage,"Storage, Jobs, Postgres Operator Cloudnative-PG, Hello world tutorial, Projects, Namespaces, and Quotas",1.0,True,en,0,5
What steps are needed to start a custom JupyterLab environment with a personalized name?,JupyterHub,"JupyterHub, BinderHub, RStudio, Running Virtual Machine, Running Nextflow Pipelines in Kubernetes",1.0,True,en,0,5
What types of pre-configured Docker images are available for different computational requirements in JupyterHub?,JupyterHub,"JupyterHub, JupyterHub, Jobs, BinderHub, Welcome to the CERIT-SC Kubernetes Container Platform",1.0,True,en,1,4
How does the shutdown mechanism work for unused Jupyter notebook instances in JupyterHub?,JupyterHub,"JupyterHub, BinderHub, BinderHub, JupyterHub, RStudio",1.0,True,en,2,3
How can I access JupyterHub on the hub.cloud.e-infra.cz platform?,JupyterHub,"JupyterHub, JupyterHub, BinderHub, Vystavování aplikací, BinderHub",1.0,True,en,3,2
What is the process for sharing a Jupyter notebook with another user or using it from another browser session?,JupyterHub,"JupyterHub, BinderHub, Scipion, JupyterHub, ownCloud",1.0,True,en,1,4
How can I generate SSH secrets for accessing storage servers in MetaCentrum?,Storage Secrets,"Storage Secrets, MinIO Operator, Running Virtual Machine, RStudio, Matlab",1.0,True,en,0,5
What is the purpose of the Samba secret in relation to Matlab applications?,Storage Secrets,"Samba Server, Storage Secrets, Samba Server, Matlab, RStudio",2.0,True,en,1,4
How do I ensure my kerberos name is associated with my Rancher account?,Storage Secrets,"Storage Secrets, Running Virtual Machine, Scipion, Personal Monitoring, ownCloud",1.0,True,en,0,5
What are the requirements to use the service for generating storage secrets?,Storage Secrets,"Storage Secrets, Úložiště, MinIO Operator, MinIO Operator, Storage",1.0,True,en,2,3
Where can I find the form to create storage access objects for MetaCentrum?,Storage Secrets,"Matlab, Storage Secrets, Ansys, JupyterHub, RStudio",2.0,True,en,0,5
Why is it important to use `&&` instead of `;` when chaining commands in a Dockerfile?,Dockerfile,"Dockerfile, Harbor (hub.cerit.io), Building Docker containers with Gitlab, BinderHub, Add shell to an image without one",1.0,True,en,0,5
What is the recommended way to merge related commands in a Dockerfile to optimize image size?,Dockerfile,"Harbor (hub.cerit.io), Dockerfile, Running Virtual Machine, Add shell to an image without one, BinderHub",2.0,True,en,0,5
What should you do if a Docker image has an `ENTRYPOINT` set and you want to execute a different command?,Dockerfile,"Dockerfile, Building Docker containers with Gitlab, Harbor (hub.cerit.io), Use case Omero, Dockerfile",1.0,True,en,1,4
How can you manually build a Docker image using a Dockerfile on a Linux machine?,Dockerfile,"Dockerfile, BinderHub, Running Virtual Machine, Building Docker containers with Gitlab, Add shell to an image without one",1.0,True,en,0,5
What are the potential risks associated with using external Docker images from public registries?,Dockerfile,"Dockerfile, Welcome to the CERIT-SC Kubernetes Container Platform, Building Docker containers with Gitlab, Harbor (hub.cerit.io), Vytváření Docker kontejnerů s GitLab",1.0,True,en,1,4
What are the limitations of running Docker images without root privileges on the container platform?,Limitations of Running Docker Images,"Limitations of Running Docker Images, Omezení spouštění Docker obrazů, Dockerfile, How to Run NGINX Web Server, Running Nextflow Pipelines in Kubernetes",1.0,True,en,1,4
