question,correct_document,retrieved_documents,position,correct_found,question_lang,num_czech,num_engl
How can you run the ownCloud client application to sync data between a pod and an ownCloud server?,ownCloud,"ownCloud, ownCloud, Minio, Postgres Operator Cloudnative-PG, Use case Omero",1.0,True,en,1,4
How do you check that a remote file system is connected to your home directory in the pod?,ownCloud,"ownCloud, Minio, ShinySOM, Running Virtual Machine, ownCloud",1.0,True,en,1,4
What steps should you follow to install the ownCloud application through the Rancher interface?,ownCloud,"ownCloud, Scipion, Personal Monitoring, Rancher Applications, ShinySOM",1.0,True,en,0,5
How can you delete a running instance of the ownCloud application while preserving data in the home directory?,ownCloud,"ownCloud, ShinySOM, Moodle, ownCloud, Minio",1.0,True,en,1,4
What is a prerequisite for the ownCloud client to sync data into a pod?,ownCloud,"ownCloud, ownCloud, Minio, Exposing Applications, Hello world tutorial",1.0,True,en,1,4
What should you do after being redirected to your Grafana instance?,Personal Monitoring,"Personal Monitoring, Osobní monitorování, Scipion, Postgres Operator Cloudnative-PG, Chat AI",1.0,True,en,1,4
What is the purpose of the Personal Monitoring application?,Personal Monitoring,"Personal Monitoring, Osobní monitorování, Ansys, Scipion, Requesting a Project, Access Control",1.0,True,en,1,4
How do you start the installation of the Personal Monitoring application?,Personal Monitoring,"Personal Monitoring, Osobní monitorování, Minio, Desktop, ownCloud",1.0,True,en,1,4
Can you change the deployed chart name during the installation process?,Personal Monitoring,"Ansys, Personal Monitoring, Rancher Applications, Jobs, Desktop",2.0,True,en,0,5
Where can you access your personal Grafana instance?,Personal Monitoring,"Personal Monitoring, Harbor (hub.cerit.io), JupyterHub, Storage Secrets, Welcome to the CERIT-SC Kubernetes Container Platform",1.0,True,en,0,5
What are the steps to enable TLS for a web-based application using Ingress?,Exposing Applications,"Exposing Applications, Spark Operator, Security and Network Policy, Hello world tutorial, How to Run NGINX Web Server",1.0,True,en,0,5
How should a web-based application be exposed to the Internet according to this documentation?,Exposing Applications,"Exposing Applications, Samba Server, Hello world tutorial, How to Run NGINX Web Server, Welcome to the CERIT-SC Kubernetes Container Platform",1.0,True,en,0,5
What are the differences in IP address requirements between web-based applications and other applications?,Exposing Applications,"Exposing Applications, Vystavování aplikací, Matlab, Welcome to the CERIT-SC Kubernetes Container Platform, Certificate",1.0,True,en,1,4
How can you restrict access to a Kubernetes application to specific IP ranges?,Exposing Applications,"Wireguard, Limitations of Running Docker Images, Exposing Applications, FAQ, How to Run NGINX Web Server",3.0,True,en,0,5
What should you do if a TLS certificate is not issued due to resource quotas?,Exposing Applications,"FAQ, Projects, Namespaces, and Quotas, Requesting a Project, Access Control, Certificate, Spark Operator",,False,en,0,5
What should you do if you need more than the default number of guaranteed CPUs for Matlab?,Matlab,"Matlab, Ansys, Storage Secrets, JupyterHub, Scipion",1.0,True,en,0,5
How can you mount your MetaCentrum home in Matlab version v9.11.1 and above without a password?,Matlab,"Matlab, Storage Secrets, JupyterHub, Matlab, RStudio",1.0,True,en,1,4
"What are the two display methods available for accessing Matlab, and what are their differences?",Matlab,"JupyterHub, Matlab, RStudio, Storage Secrets, Welcome to the CERIT-SC Kubernetes Container Platform",2.0,True,en,0,5
What steps should you follow to delete a running Matlab instance while preserving the home directory data?,Matlab,"Matlab, Storage Secrets, RStudio, ownCloud, ShinySOM",1.0,True,en,0,5
How can you ensure that the content of the home directory is preserved when reinstalling the Matlab application?,Matlab,"Storage Secrets, ShinySOM, Matlab, Ansys, RStudio",3.0,True,en,0,5
"What are the possible values for the restart policy in a Kubernetes job, and where can I find more information about them?",Jobs,"Jobs, Operator Summary, Limitations of Running Docker Images, MinIO Operator, Projects, Namespaces, and Quotas",1.0,True,en,0,5
Where should I specify the security context for a container in a Kubernetes job?,Jobs,"Security Context, Jobs, How to Run NGINX Web Server, MinIO Operator, FAQ",2.0,True,en,0,5
How can I define resource requests and limits for CPU and memory in a job configuration?,Jobs,"Projects, Namespaces, and Quotas, GPU and other Resources, JupyterHub, FAQ, BinderHub",,False,en,0,5
What is the significance of using labels in Kubernetes jobs and pods?,Jobs,"Jobs, Projects, Namespaces, and Quotas, Hello world tutorial, Running Nextflow Pipelines in Kubernetes, Security Context",1.0,True,en,0,5
What should be changed in the sample configuration before using it for a job in the cluster?,Jobs,"Jobs, Operator Summary, Kubectl, Matlab, Postgres Operator Cloudnative-PG",1.0,True,en,0,5
What actions should you take to delete a running instance of the Moodle application?,Moodle,"Moodle, Moodle, BinderHub, phpMyAdmin, ShinySOM",1.0,True,en,1,4
How can you configure the database for Moodle if you want to use an existing external database?,Moodle,"Moodle, phpMyAdmin, Moodle, Postgres Operator Cloudnative-PG, Matlab",1.0,True,en,1,4
What information is required to customize the General section during Moodle installation?,Moodle,"Moodle, Matlab, Ansys, phpMyAdmin, BinderHub",1.0,True,en,0,5
What steps do you follow to select the Moodle application from the catalog?,Moodle,"Moodle, phpMyAdmin, Moodle, Matlab, ShinySOM",1.0,True,en,1,4
How do you log in to the Rancher portal before installing Moodle?,Moodle,"Moodle, Storage Secrets, Scipion, Rancher Applications, RStudio",1.0,True,en,0,5
"What should I do if `nvidia-smi` returns ""command not found"" due to missing GPU requests?",FAQ,"FAQ, FAQ, GPU and other Resources, Running Virtual Machine, BinderHub",1.0,True,en,1,4
What steps should I take to address a PodSecurity violation error related to privilege escalation and user permissions?,FAQ,"FAQ, Limitations of Running Docker Images, Security Context, Exposing Applications, Minio",1.0,True,en,0,5
How can I fix a CreateContainerConfigError related to a container running as root?,FAQ,"Limitations of Running Docker Images, FAQ, FAQ, Jobs, MinIO Operator",2.0,True,en,1,4
How can I resolve an error indicating that my Pod's memory request exceeds the available quota?,FAQ,"FAQ, Projects, Namespaces, and Quotas, GPU and other Resources, FAQ, Projekty, Namespaces a Kvóty",1.0,True,en,2,3
What should be included in the resource section to avoid deployment failure due to missing resources?,FAQ,"FAQ, Projects, Namespaces, and Quotas, Jobs, FAQ, BinderHub",1.0,True,en,1,4
What is the role of the `$CI_REGISTRY` variable in the GitLab CI/CD pipeline configuration?,Building Docker containers with Gitlab,"Building Docker containers with Gitlab, Vytváření Docker kontejnerů s GitLab, GitLab Runner in Kubernetes, Dockerfile, BinderHub",1.0,True,en,1,4
What steps are necessary to upload a Docker image to a custom container registry in GitLab?,Building Docker containers with Gitlab,"Building Docker containers with Gitlab, Dockerfile, Jobs, Harbor (hub.cerit.io), Vytváření Docker kontejnerů s GitLab",1.0,True,en,1,4
