question,correct_document,retrieved_documents,position,correct_found,question_lang,num_czech,num_engl
"Co se stane s daty v domovském adresáři, pokud aplikaci ShinySOM odstraníte a později ji znovu nainstalujete?",ShinySOM,"Matlab, ownCloud, Ansys, Minio, ShinySOM",5.0,True,cz,5,0
Jaké kroky jsou potřebné k instalaci aplikace ShinySOM?,ShinySOM,"ShinySOM, Scipion, Rancher Aplikace, Desktop, ownCloud",1.0,True,cz,5,0
Jaké kroky je třeba podniknout pro přihlášení k běžící instanci aplikace ShinySOM?,ShinySOM,"Projekty, Namespaces a Kvóty, Bezpečnost a síťová politika, Přidání shellu do obrazu, který jej nemá, Moodle, NBGrader Docs",,False,cz,5,0
"Jakým způsobem lze aplikaci ShinySOM odstranit, pokud ji již nepotřebujete?",ShinySOM,"ShinySOM, JupyterHub, NBGrader Docs, Desktop, NBGrader Docs",1.0,True,cz,4,1
Jaké pravidlo platí pro výběr jména v rámci namespace při instalaci aplikace?,ShinySOM,"Rancher, RStudio, Vystavování aplikací, Projekty, Namespaces a Kvóty, Minio",,False,cz,5,0
"Jak lze přizpůsobit nastavení nové Moodle aplikace, včetně hostnamu a uživatelského jména?",Moodle,"Moodle, NBGrader Docs, NBGrader Docs, JupyterHub, Vystavování aplikací",1.0,True,cz,4,1
Co se stane s daty v domovském adresáři po smazání běžící instance Moodle?,Moodle,"Moodle, NBGrader Docs, NBGrader Docs, JupyterHub, Matlab",1.0,True,cz,4,1
Jaké kroky je třeba dodržet pro instalaci webové aplikace Moodle?,Moodle,"Moodle, Vystavování aplikací, NBGrader Docs, NBGrader Docs, JupyterHub",1.0,True,cz,4,1
Jak se přihlásit do běžící instance Moodle po jejím spuštění?,Moodle,"Moodle, NBGrader Docs, NBGrader Docs, Vystavování aplikací, JupyterHub",1.0,True,cz,4,1
Jakým způsobem lze použít existující externí databázi místo interní MariaDB?,Moodle,"Moodle, Desktop, Postgres Operator Cloudnative-PG, Spuštění aplikace Omero, phpMyAdmin",1.0,True,cz,5,0
Jaké jsou nejběžnější příkazy používané v Dockerfile?,Dockerfile,"BinderHub, Dockerfile, Harbor (hub.cerit.io), Přehled platformy kontejnerů, Spuštění Virtuálního Stroje",2.0,True,cz,5,0
Jaké jsou hlavní komponenty Docker image?,Dockerfile,"Dockerfile, Harbor (hub.cerit.io), BinderHub, Spuštění Virtuálního Stroje, Přehled platformy kontejnerů",1.0,True,cz,5,0
Jakým způsobem se obvykle vytváří Docker image?,Dockerfile,"Dockerfile, BinderHub, Přehled platformy kontejnerů, Spuštění Virtuálního Stroje, Harbor (hub.cerit.io)",1.0,True,cz,5,0
Co se doporučuje udělat před vytvořením vlastního Docker image?,Dockerfile,"Dockerfile, Přehled platformy kontejnerů, BinderHub, Spuštění Virtuálního Stroje, Harbor (hub.cerit.io)",1.0,True,cz,5,0
Jak lze zmenšit velikost výsledného Docker image?,Dockerfile,"Dockerfile, BinderHub, Přehled platformy kontejnerů, Spuštění Virtuálního Stroje, Omezení spouštění Docker obrazů",1.0,True,cz,5,0
Jaké jsou požadavky pro nastavení GitLab pipeline pro vytváření Docker image?,Vytváření Docker kontejnerů s GitLab,"Dockerfile, Vytváření Docker kontejnerů s GitLab, Harbor (hub.cerit.io), Přehled platformy kontejnerů, BinderHub",2.0,True,cz,5,0
"Jaké kroky je nutné provést pro použití Docker image z GitLab Container Registry, pokud je projekt nastaven jako soukromý?",Vytváření Docker kontejnerů s GitLab,"Dockerfile, Vytváření Docker kontejnerů s GitLab, Harbor (hub.cerit.io), Spuštění Virtuálního Stroje, BinderHub",2.0,True,cz,5,0
Jakým způsobem se konfiguruje soubor `.gitlab-ci.yml` pro automatické vytváření a publikaci Docker image?,Vytváření Docker kontejnerů s GitLab,"Vytváření Docker kontejnerů s GitLab, Dockerfile, BinderHub, Spuštění Virtuálního Stroje, Harbor (hub.cerit.io)",1.0,True,cz,5,0
Jak lze zjistit stav GitLab pipeline po provedení commitu?,Vytváření Docker kontejnerů s GitLab,"Dockerfile, Vytváření Docker kontejnerů s GitLab, Spuštění Nextflow Pipelines v Kubernetes, GitLab Kubernetes Agent, Ukládání Kubernetes Secrets do Gitu",2.0,True,cz,5,0
Jaké proměnné je nutné použít v GitLab pipeline pro přístup k GitLab Container Registry?,Vytváření Docker kontejnerů s GitLab,"Dockerfile, Vytváření Docker kontejnerů s GitLab, GitLab Kubernetes Agent, Spuštění Nextflow Pipelines v Kubernetes, Harbor (hub.cerit.io)",2.0,True,cz,5,0
Jaké kroky je třeba provést pro vytvoření tajemství pro přihlašovací údaje databáze Postgres?,Spuštění aplikace Omero,"Spuštění aplikace Omero, Postgres Operator Cloudnative-PG, BinderHub, Secrets pro úložiště, Omezení spouštění Docker obrazů",1.0,True,cz,5,0
Jaké jsou požadavky na úložiště pro spuštění Omero serveru a Omero webové aplikace?,Spuštění aplikace Omero,"Spuštění aplikace Omero, Secrets pro úložiště, Omezení spouštění Docker obrazů, Vystavování aplikací, Jak spustit webový server NGINX",1.0,True,cz,5,0
Jaké závislosti je třeba nasadit spolu s aplikací Omero v Kubernetes?,Spuštění aplikace Omero,"Spuštění aplikace Omero, Úložiště, Přidání shellu do obrazu, který jej nemá, Přehled platformy kontejnerů, Spuštění Nextflow Pipelines v Kubernetes",1.0,True,cz,5,0
Jakým způsobem je možné nasadit databázi Postgres pro aplikaci Omero v Kubernetes?,Spuštění aplikace Omero,"Spuštění aplikace Omero, Postgres Operator Cloudnative-PG, Omezení spouštění Docker obrazů, Spuštění Virtuálního Stroje, Přidání shellu do obrazu, který jej nemá",1.0,True,cz,5,0
Jakým způsobem je možné nasadit a zpřístupnit Omero webovou aplikaci na internetu pomocí Kubernetes?,Spuštění aplikace Omero,"Tutorial pro Hello World, Spuštění aplikace Omero, Jak spustit webový server NGINX, Spuštění Virtuálního Stroje, Vystavování aplikací",2.0,True,cz,5,0
